px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.44703	0.251489	-3.03779	0.0286794	-2.62512e-06	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00533775
8.46498	0.248075	-1.88713	0.0354345	0.000506669	8.56759	0.241943	8.45	0.25	0	0	2.82567
8.42142	0.250138	-1.8444	0.0260219	-0.000474199	8.45582	0.253997	8.45	0.25	0	0	0.100626
8.32514	0.248429	-2.08878	0.0242173	-0.00061836	8.42544	0.254042	8.35	0.25	-1.81979	0	0.300462
8.23174	0.247796	-2.08386	0.0200028	-0.00150193	8.23962	0.24916	8.25	0.25	-1.81978	0	0.00426174
7.99585	0.223035	-3.11107	0.0779345	0.0234396	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	15.9507
7.8512	0.181679	-3.11502	0.142319	0.0496924	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.0565298
7.68002	0.179802	-3.21744	0.0910083	-0.0122308	7.61269	0.155818	7.7	0.15	-2.99982	0	0.583646
7.52913	0.162121	-3.21442	0.0955748	-0.0084086	7.54016	0.159641	7.55	0.15	-2.99982	0	0.00758613
7.437	0.104617	-2.90262	0.186801	0.172041	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	10.9964
7.29643	0.0538439	-2.89325	0.225728	0.210186	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.154318
7.14458	0.0189889	-2.9005	0.230626	0.187366	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.0744042
7.00464	-0.0342618	-2.89249	0.26394	0.224858	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.164791
6.90597	-0.175947	-2.79753	0.513443	0.815941	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	8.42642
6.78963	-0.257549	-2.78505	0.567964	0.835828	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.196507
6.6827	-0.350025	-2.7853	0.64786	0.923044	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.0793562
6.58714	-0.444952	-2.77889	0.708086	0.946075	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.191598
6.54674	-0.628365	-2.78955	0.996329	1.46608	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.68819
6.48834	-0.727356	-2.76374	1.0603	1.4626	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.598807
6.44574	-0.891163	-2.78278	1.22747	1.63512	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.03684
6.4109	-1.04027	-2.77874	1.32521	1.64596	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.128143
6.29884	-1.12082	-2.70651	1.20327	1.26592	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	10.4158
6.25123	-1.25937	-2.70466	1.27285	1.26677	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.00529611
