px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	-3.04035	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.46292	0.243462	6.15223e-08	-3.04035	0	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.46292	0.243462	5.33431e-07	-3.04035	-2.64693e-16	8.56759	0.241943	8.45	0.25	0	0	0.123084
8.46292	0.243462	1.41577e-06	-3.04035	-1.37666e-14	8.45582	0.253997	8.45	0.25	0	0	0
8.46266	0.243436	0.00471037	-3.04035	-5.96695e-11	8.42544	0.254042	8.35	0.25	-1.81979	0	38.2831
8.46237	0.243407	0.00498952	-3.04035	-1.38227e-08	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.46007	0.243173	0.0241256	-3.04035	-1.66614e-06	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	163.27
8.45851	0.243015	0.0261464	-3.04035	-1.49021e-06	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
8.45342	0.242497	0.04984	-3.04035	-1.68677e-05	7.61269	0.155818	7.7	0.15	-2.99982	0	120.544
8.44959	0.242109	0.0553848	-3.04035	-1.73319e-05	7.54016	0.159641	7.55	0.15	-2.99982	0	0
8.4424	0.241378	0.074712	-3.04036	-4.79108e-05	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	47.4033
8.43475	0.240601	0.0859883	-3.04036	-3.02662e-05	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
8.42027	0.23913	0.122315	-3.0404	-0.000133618	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	97.9502
8.40545	0.237625	0.143329	-3.04037	-5.1979e-05	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
8.38758	0.23581	0.172869	-3.0404	-0.000121589	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	58.3395
8.36296	0.233303	0.205981	-3.04019	0.000313403	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
8.33685	0.230648	0.246163	-3.04016	0.000305045	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	73.9445
8.30009	0.226876	0.292971	-3.03937	0.00167004	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
8.27437	0.224216	0.315436	-3.03872	0.0025743	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	46.9403
8.2242	0.218941	0.373854	-3.03638	0.00602053	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
8.1932	0.215538	0.390595	-3.03399	0.00904223	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	61.0607
